0,1,2,3,4,5,6,7,8,9,10,11
"(175.72458034461468, 28.09214722246469, 0)","(108.73046464388045, 75.44363929628858, 0)","(21.990955196275443, 120.85120828600435, 0)","(18.507713795690005, 34.97505395453877, 0)","(174.9696731711061, 8.134003449901883, 0)","(23.64658386630714, 2.551441178058024, 0)","(112.29491104274902, 48.01998135784581, 0)","(166.5148823899943, 48.73908161898644, 0)","(45.95628122228911, 12.746703928527982, 0)","(38.68625823407536, 121.62820827123659, 0)","(155.1253378244277, 26.93475147860717, 0)","(18.79517450268908, 54.35513398287192, 0)"
"(157.5702782630317, 32.92125069535636, 0)","(102.38055128710042, 79.04139029485061, 0)","(17.69768298919292, 126.20107564330239, 0)","(21.746200520381073, 27.12039946437282, 0)","(191.71994111415256, 6.568570747597795, 0)","(22.29575417234271, 2.889190213825777, 0)","(112.17562112390773, 49.279743904191655, 0)","(164.82618955931252, 47.83842371729838, 0)","(45.09561500986567, 29.892473973002886, 0)","(44.852801269307534, 121.18922029980037, 0)","(170.9066636722255, 18.785484294202657, 0)","(18.882448190910836, 53.38951556729207, 0)"
"(168.0447752784565, 45.6673586587819, 0)","(88.36359171172394, 84.62188384707422, 0)","(1.6161538966537492, 124.00965645830865, 0)","(25.414669604533472, 17.976488126772818, 0)","(192.18343078087844, 5.745269340249301, 0)","(20.77374066546582, 1.1699177692020053, 0)","(116.66097854641569, 45.506584675527634, 0)","(172.31210889073753, 36.59849400544597, 0)","(34.8394034015208, 42.109488157850635, 0)","(39.57975312626054, 113.75510471542638, 0)","(170.80705983226954, 18.765450894252442, 0)","(5.990659422418682, 40.59110384860218, 0)"
"(170.53487115935812, 51.34863794987609, 0)","(90.19258377621193, 78.82285969661352, 0)","(1.6901955423281805, 124.18149310029604, 0)","(23.716768233019152, 29.756523174472473, 0)","(191.69531824700647, 0.23071315168676954, 0)","(33.60142818228551, 13.590032587262378, 0)","(113.33842383417702, 30.164209789242847, 0)","(172.6237626901803, 38.772197990369534, 0)","(35.17477355268877, 42.41876012108423, 0)","(34.7483023609661, 111.54258164161656, 0)","(160.53632435896844, 13.200260774468347, 0)","(3.9449088976679954, 39.514255498206246, 0)"
"(183.8297318053152, 45.55321181089546, 0)","(89.75478865292276, 78.60090107124427, 0)","(0.0031692374986864724, 119.77049526663356, 0)","(18.389534933692087, 34.52564320392521, 0)","(177.13279671656377, 7.591271367398429, 0)","(34.99366999160302, 8.433475107359492, 0)","(110.02368763108097, 33.49066506104359, 0)","(163.4882937641346, 52.4422312657774, 0)","(36.795063991987675, 41.02284784749662, 0)","(46.00876535155772, 107.34618087708581, 0)","(155.57231330919274, 28.054443378568976, 0)","(9.92285474899514, 50.04260819393974, 0)"
"(179.26256565721684, 52.00175331619686, 0)","(75.31129128011722, 65.00354843198693, 0)","(2.593045469829531, 126.06184197754514, 0)","(6.738107630519153, 37.023354129689736, 0)","(184.0968859218966, 1.7248586215277184, 0)","(19.49189583962303, 6.785502395143043, 0)","(91.85722465689808, 31.6795400121458, 0)","(171.7891923292948, 65.85163987433478, 0)","(43.04900495429076, 24.03750054943977, 0)","(35.24140281756249, 114.24999366226521, 0)","(154.68753938734346, 28.13363082524724, 0)","(9.126823787698312, 60.13945893723087, 0)"
"(184.1990323258079, 45.80820111972713, 0)","(82.37804809791885, 80.64383995445458, 0)","(3.1331637477779974, 129.0002221119702, 0)","(8.922372923354391, 36.05373030126019, 0)","(182.68810276778146, 4.4255534996387915, 0)","(27.068927316954806, 8.885445164791403, 0)","(101.11248412971716, 39.324571130394176, 0)","(160.6676437979141, 67.26620836269962, 0)","(31.02135957046623, 35.88058888975291, 0)","(37.983624392498484, 112.45154919982043, 0)","(155.0676235563079, 27.526713496438436, 0)","(13.898236749892435, 61.003939163082634, 0)"
"(194.89417458446292, 34.163948537599914, 0)","(92.73477477662374, 66.69580763784906, 0)","(13.616633164519698, 141.71824964493533, 0)","(16.63259760606332, 39.63956690179534, 0)","(184.7063576071688, 1.5113765916816604, 0)","(34.54511718811845, 21.71389443945709, 0)","(103.21488843415945, 39.95983464506151, 0)","(160.42646421259906, 66.23434646382904, 0)","(36.31690361332764, 31.598526275380415, 0)","(22.30826912364594, 111.59504339711351, 0)","(155.15036694089403, 27.385589666363707, 0)","(21.51494164029077, 53.693933142300835, 0)"
"(190.74457197385752, 33.901396295604506, 0)","(77.17969783013694, 71.20807632923402, 0)","(18.242193515424365, 149.20899531152972, 0)","(23.30400294808581, 49.629282053000864, 0)","(183.76620219006008, 2.447763300279894, 0)","(16.67846053100764, 19.147688742276433, 0)","(100.308541640595, 41.486046405284505, 0)","(154.32065890944062, 67.09176207874225, 0)","(54.77313772674411, 35.84411555923595, 0)","(11.492814339187806, 100.4567366146585, 0)","(155.99783879142203, 33.27148193100368, 0)","(30.038265951003197, 54.575372460372634, 0)"
"(198.63537360793, 50.68288559005927, 0)","(75.94183054859343, 71.68968605553704, 0)","(16.335798062553636, 141.79345302160274, 0)","(29.641310191037732, 62.24750394201123, 0)","(183.9153392814855, 3.3663630315778823, 0)","(22.282851259803703, 5.67850079630626, 0)","(110.94271311086386, 38.11252431105625, 0)","(143.54258996551528, 55.66855137653634, 0)","(56.692824492083496, 36.79926087514515, 0)","(12.508384084809538, 91.10047610978836, 0)","(161.0697145816965, 32.45543243898963, 0)","(21.548725587451248, 49.70294685216651, 0)"
"(190.19956924508315, 55.91678173276658, 0)","(67.22313169098616, 87.49121938980211, 0)","(1.972256324145901, 150.38891626533106, 0)","(29.731604480465773, 61.516379448692945, 0)","(197.8731169000825, 13.89178046163644, 0)","(22.621687370987203, 7.023957993727728, 0)","(93.74199304708205, 30.392168364674767, 0)","(142.59168951562114, 61.50716615061253, 0)","(58.690666044853145, 19.951212131662984, 0)","(14.478876539892779, 85.84511018451863, 0)","(170.8360857685252, 37.218065077714314, 0)","(5.71834098075068, 55.945094909496525, 0)"
"(191.40928302434855, 54.65105224133746, 0)","(74.84822494360617, 73.24503115726698, 0)","(17.63942858630395, 141.95531717282225, 0)","(29.685459492504762, 61.3797471490441, 0)","(197.95047424276922, 13.87688700126095, 0)","(9.802382410686613, 6.820435213148147, 0)","(94.91733723948425, 31.187805713254917, 0)","(142.5187213203607, 58.321360476350726, 0)","(48.55504845865106, 22.46575129858529, 0)","(10.968498767620773, 92.06712664248062, 0)","(175.59314038603148, 29.257378576363337, 0)","(4.848198319738513, 55.78136646542244, 0)"
"(194.79700051581787, 49.40677671585145, 0)","(86.65294852601959, 71.97413860943652, 0)","(12.28283666194555, 134.9535333956958, 0)","(30.775809398650953, 56.58478470928361, 0)","(199.51092744171575, 13.764916088667634, 0)","(2.4106336683502416, 22.574374704132694, 0)","(92.46140738823411, 25.77882721460861, 0)","(155.079542404396, 49.15146351284572, 0)","(45.97613390934701, 28.88655443905791, 0)","(22.832673577778582, 101.67375692651444, 0)","(170.1211074442061, 42.52686878480945, 0)","(20.667866329997615, 55.200124221615845, 0)"
"(190.53580762917062, 49.36976298976129, 0)","(92.16272338016799, 72.69615446274571, 0)","(11.832428595707126, 134.2088109529216, 0)","(31.875418323202382, 54.84082879937491, 0)","(199.26539747636164, 13.39582732669661, 0)","(21.0255326864826, 24.857966300212837, 0)","(92.04951320527665, 24.22886867080964, 0)","(143.0201240845868, 39.967178249205446, 0)","(61.358447084073475, 37.66469828148416, 0)","(25.12413042636824, 104.06928718081018, 0)","(182.79079025026886, 48.468972014162844, 0)","(24.564522579594033, 65.34558624514536, 0)"
"(195.01628526160502, 42.31672778814201, 0)","(75.77746178535693, 68.95509072009511, 0)","(8.986418782412803, 136.37933910058896, 0)","(27.307183911359907, 50.38079521119855, 0)","(199.04144754877765, 12.735759011147259, 0)","(21.054921061286553, 24.751716220177585, 0)","(98.40598095528881, 23.655285064551517, 0)","(144.6455273627193, 32.52348670190815, 0)","(61.38566401566721, 37.46684419250672, 0)","(29.912357627582267, 117.88719568828189, 0)","(173.926484880164, 61.88606370988062, 0)","(26.562905746089346, 64.82586101351757, 0)"
"(195.75747880241178, 45.12180981892765, 0)","(72.1744673106856, 70.3513432658063, 0)","(3.79730169423396, 135.83228734479195, 0)","(33.280315785893954, 56.8839268535601, 0)","(198.06568181341518, 14.906051493023796, 0)","(18.245102366962843, 32.67888552231832, 0)","(107.64907228083857, 7.363647262971277, 0)","(151.68806548538012, 36.34971682034024, 0)","(62.116317688947184, 31.623298111173398, 0)","(30.9430551072818, 109.66862464780633, 0)","(158.14869134386996, 57.15631899625097, 0)","(25.082324351301608, 65.4397975597377, 0)"
"(196.28954783301555, 39.46410878089975, 0)","(76.18855340000347, 68.09046454741961, 0)","(5.6445433162095116, 136.20205281042175, 0)","(28.81006524510993, 59.76044648689092, 0)","(196.26511249319515, 14.986482320966774, 0)","(13.700700048678947, 46.32127038363812, 0)","(107.56246169647717, 7.0366224145735705, 0)","(169.99813571136102, 34.880058774526724, 0)","(55.20740195479132, 22.045546422798015, 0)","(40.85511634591167, 121.1536814180623, 0)","(156.3144300032143, 55.126804059878665, 0)","(11.752739593949393, 64.81647452934183, 0)"
"(181.60895961285027, 41.62363203050478, 0)","(78.90446811183747, 62.352180577395, 0)","(6.17355227088005, 137.15503768945837, 0)","(19.866969631536506, 53.984071661133015, 0)","(194.07222002598712, 27.802669840345096, 0)","(13.725245318349685, 46.12716951423084, 0)","(99.72314642013389, 5.0196849446877465, 0)","(153.40215794476836, 25.116252619460063, 0)","(57.00012824758068, 19.185980439911226, 0)","(45.360189088643835, 116.38642712548952, 0)","(156.74935971153, 54.02970214695027, 0)","(3.6673039336036997, 56.90425324701256, 0)"
"(179.8598598522187, 48.308180075198, 0)","(77.51700627035461, 64.3249045533292, 0)","(16.761213675150913, 132.04433366115208, 0)","(12.367479710521941, 36.100005269003475, 0)","(185.9261389481963, 39.36838408919455, 0)","(8.770187634591537, 43.94030196276764, 0)","(97.0001063216383, 7.566009429857608, 0)","(152.57398323673877, 23.973671004541046, 0)","(45.16523775691428, 25.89485437964544, 0)","(49.424402840784346, 115.23814999075908, 0)","(168.01336681324815, 59.083572395843035, 0)","(1.8827392844975885, 41.161917693935074, 0)"
