0,1,2,3,4,5,6,7,8,9,10,11
"(64.11316064292075, 84.96367600665563, 0)","(118.2960444132968, 22.300005191824063, 0)","(35.02567052793552, 36.53288699438554, 0)","(83.97691193767108, 53.21083477109231, 0)","(90.396686841253, 76.54041787574033, 0)","(6.453564733338113, 12.904166939009905, 0)","(190.81521891446226, 54.182705581198626, 0)","(150.1504962691677, 52.25952788465588, 0)","(32.165450203700445, 153.28425956933688, 0)","(34.68473359601053, 50.425841931260976, 0)","(55.86050889211495, 120.48056526324801, 0)","(35.477209642998965, 81.71148244903549, 0)"
"(79.53034065575922, 83.87913170553773, 0)","(92.6601436926142, 29.060335458027883, 0)","(11.843672085253338, 50.291344848307084, 0)","(80.33755643558628, 50.109914143590224, 0)","(96.46588685219746, 72.79952278185291, 0)","(8.187873827499303, 26.926292466387665, 0)","(193.48269191049977, 33.827735974387245, 0)","(169.59477956697157, 53.68260192348099, 0)","(35.744790713537455, 159.78685695809915, 0)","(16.082258933722134, 69.42930167463459, 0)","(56.04154682773693, 118.95763086427786, 0)","(43.74350598118494, 107.48521542925933, 0)"
"(62.91558271618668, 107.24206065985628, 0)","(102.22834836688092, 22.923293259271396, 0)","(35.0857949087181, 44.041187877135464, 0)","(78.13778531022588, 66.48038436720782, 0)","(95.63453879461846, 77.65623653812813, 0)","(5.648230396992316, 15.25707681632063, 0)","(195.29189419122864, 52.32623430690158, 0)","(149.84312545532103, 66.4173547008742, 0)","(35.04376341818924, 160.03243254933113, 0)","(18.16360850106644, 71.73903513203474, 0)","(58.30938062814768, 101.63841173544293, 0)","(43.17512211515143, 101.73944493822633, 0)"
"(75.22280574548678, 112.5090589047277, 0)","(107.77186130956983, 20.742454808278698, 0)","(11.484639952956464, 27.516698588139075, 0)","(80.13555788642049, 77.33285993178544, 0)","(106.58074089949147, 78.66392054077481, 0)","(0.39930562735621233, 42.16285039651531, 0)","(196.62054616658935, 53.63328138367807, 0)","(144.0215581360652, 58.43884252393468, 0)","(13.84815345231198, 147.09141444296043, 0)","(6.415468896458474, 55.50749818737696, 0)","(52.438822167262074, 113.52720461896577, 0)","(42.65593457816445, 97.17308369240742, 0)"
"(69.77637057676766, 89.02716368976402, 0)","(112.18234328670506, 30.647215264938502, 0)","(5.718315029857553, 18.888976538054315, 0)","(85.49804468398317, 69.81513611274447, 0)","(106.43435782056582, 78.71118262414669, 0)","(5.746708657867901, 61.61167915982533, 0)","(193.1405041452133, 55.33020715274803, 0)","(149.8007944745399, 74.11133075537285, 0)","(8.056787822822496, 146.91202070819526, 0)","(6.196227731136701, 54.41564087671394, 0)","(55.8796207698382, 122.0293819076792, 0)","(42.063608024722065, 88.56589500410944, 0)"
"(83.41754061932177, 66.88394120595575, 0)","(109.73509669067373, 31.03642543054996, 0)","(7.353843871880618, 19.7995842816144, 0)","(72.74450516006564, 53.52052954052333, 0)","(102.29949091845639, 50.72736988774179, 0)","(15.925104417502627, 37.90023804372169, 0)","(182.7212326849168, 62.937485321688385, 0)","(144.88168785989754, 48.418599311781634, 0)","(30.53937091368207, 128.12490068562346, 0)","(5.6753163317661315, 53.48307426576181, 0)","(47.66280782240247, 96.99748983948223, 0)","(61.114827305629206, 88.99940018359761, 0)"
"(78.858567571101, 62.58689799683052, 0)","(111.62974397717764, 37.07395792301496, 0)","(28.870947567855204, 6.630856159270008, 0)","(76.15937220799401, 52.07023104698939, 0)","(96.56076909005674, 54.174762282706475, 0)","(25.25907975317086, 24.954772742656374, 0)","(184.03047124786892, 46.38048344343264, 0)","(170.411668932624, 40.76007792758868, 0)","(38.13012438970921, 118.89499759592235, 0)","(8.39948577728264, 41.9220756220056, 0)","(28.152528345869317, 106.3687199951949, 0)","(66.00658061080156, 107.53019383889833, 0)"
"(71.85126104882015, 35.581242155554975, 0)","(91.66683916570915, 34.66476899852016, 0)","(25.349470016188814, 5.145529827214592, 0)","(97.3456767896252, 57.83524643069815, 0)","(96.77809513677344, 72.60455354674903, 0)","(16.057940926490875, 44.123930634167166, 0)","(186.849325439229, 49.2651063438212, 0)","(184.70807476029154, 45.73015967365999, 0)","(12.49026911404031, 122.06344999726504, 0)","(25.962072765305045, 53.31032556792191, 0)","(27.912808667567884, 107.71654524649635, 0)","(52.843091337715336, 97.31617596392671, 0)"
"(79.18953363568038, 27.962739939476478, 0)","(104.71731737492117, 39.638674230652555, 0)","(33.40283787281463, 7.850599931111452, 0)","(96.60718555729088, 84.0835239478189, 0)","(74.7031080878032, 61.88252082851122, 0)","(20.16551264031661, 50.43537725322251, 0)","(180.9800550865335, 40.10397028683272, 0)","(166.7895618613564, 63.13834728351469, 0)","(7.266755615734061, 97.83901733798363, 0)","(24.03695804740284, 55.97988760555564, 0)","(50.96113604627053, 98.13666455691613, 0)","(31.817811772053062, 97.92011627220081, 0)"
"(85.10175765638675, 52.00492945335111, 0)","(89.09247604063142, 45.843635378690664, 0)","(28.647837964225335, 36.243374325484105, 0)","(115.76924370667224, 91.85660230997634, 0)","(76.25538282767765, 35.49576666279708, 0)","(26.09851207993516, 45.39744732873116, 0)","(189.72258873284952, 35.07715686674851, 0)","(164.83354782500825, 61.383282834841886, 0)","(2.955658980527022, 111.66765140631306, 0)","(31.461654835402275, 80.50599069518037, 0)","(60.1600270657591, 124.58041909107342, 0)","(44.49955446631952, 101.43227801465851, 0)"
"(74.1918160341503, 56.93661895306083, 0)","(81.83368326203315, 55.96764477599044, 0)","(40.538320277197435, 9.933566975835394, 0)","(116.36265609053623, 97.98497166376643, 0)","(78.33539836793321, 43.86183646743844, 0)","(32.65859093132878, 69.60264187620936, 0)","(193.64868704457953, 57.07042581456676, 0)","(162.59959172588296, 60.76591163069481, 0)","(3.0320782313341432, 111.63471608931053, 0)","(21.972170132193106, 83.68258740019223, 0)","(56.82015851010138, 124.82533078540436, 0)","(41.32110011224324, 103.4788302444379, 0)"
"(72.65701119333882, 75.6253014241687, 0)","(85.66296671478092, 45.62091303339824, 0)","(14.07121379507695, 0.5476775964736014, 0)","(126.40416480442887, 120.55555890526196, 0)","(86.7492267505766, 43.90717681925434, 0)","(18.363215393857345, 95.18521162199715, 0)","(190.31963289877194, 63.07763288250899, 0)","(153.45623929747484, 50.41247118112558, 0)","(9.96132164267383, 84.90016341402875, 0)","(18.179716450173167, 82.00016034673591, 0)","(54.52311713749166, 125.81228834097969, 0)","(39.4673811564169, 103.36684477167707, 0)"
"(102.10144633510474, 71.86169944524448, 0)","(84.35226570602653, 52.52690353177361, 0)","(30.261155598976444, 0.5673678057375948, 0)","(135.20022107059526, 148.75820084727576, 0)","(74.68122242372317, 62.652506984855776, 0)","(27.59499325845041, 117.24022344112547, 0)","(183.31115826479152, 57.25466676298117, 0)","(156.95676895081849, 47.74077360735797, 0)","(0.5965189447460411, 106.3912528308687, 0)","(30.970483421235944, 88.5598683160573, 0)","(66.98459383151699, 119.80694731704284, 0)","(59.86590741962445, 88.73540654300422, 0)"
"(97.8348575550076, 71.31571295345606, 0)","(97.06193490722583, 69.33596422208976, 0)","(42.78863313513468, 23.520241323207742, 0)","(127.40799655370871, 158.9989116120178, 0)","(86.92811661536992, 78.26291676649652, 0)","(44.05645067276481, 122.35609119529884, 0)","(182.66806695894311, 61.524508572134216, 0)","(158.2907590584124, 30.356585463194353, 0)","(9.88628502608437, 123.24140653231802, 0)","(3.8300384865853765, 84.43997742192361, 0)","(45.93513768161729, 111.08957160291004, 0)","(75.32528721064273, 98.62269155647563, 0)"
"(90.62654000723211, 86.11137545681397, 0)","(98.79202029247045, 96.7860866570202, 0)","(46.59501299551284, 22.041821130211407, 0)","(133.39018038254935, 137.14852038093056, 0)","(105.94083494507103, 95.39959864814423, 0)","(65.25175700706808, 123.23422406559003, 0)","(187.57192053540703, 81.86879435623088, 0)","(146.39826546563177, 46.055858269704345, 0)","(10.998107079955384, 141.1058251329332, 0)","(28.198674299006058, 91.87650453044509, 0)","(42.042805923532164, 89.32948011648175, 0)","(65.54331225395329, 87.77357520602146, 0)"
"(77.90616153067702, 63.90096591266199, 0)","(106.39829702115853, 87.59541291831276, 0)","(70.2664510572871, 16.417365521597112, 0)","(131.4997423901221, 152.4887744744312, 0)","(82.16884043023718, 110.71298435075747, 0)","(65.21694355234813, 122.31422444767814, 0)","(197.4561334199744, 60.785166944735664, 0)","(132.63006629530574, 20.472556973054097, 0)","(21.929449985336202, 147.9489180145524, 0)","(26.10693783279885, 99.07009660553638, 0)","(25.58432635314043, 108.72683793139407, 0)","(67.61737919022191, 90.66313144554117, 0)"
"(103.9795748386535, 72.23724848874964, 0)","(105.64276417000093, 89.2041713473507, 0)","(72.94733124628448, 42.190500447202965, 0)","(127.36399858799108, 160.10952176109913, 0)","(72.51647529763318, 110.62483553300468, 0)","(79.88706265359333, 119.10024216949137, 0)","(174.9804243182856, 58.43877016635, 0)","(144.97731042208267, 17.62148289627661, 0)","(44.772034571585905, 166.87417553484534, 0)","(34.978578310499145, 101.40536778397373, 0)","(13.774565231365893, 105.52978423543411, 0)","(68.36187491066273, 88.02792028063898, 0)"
"(109.26465886414445, 74.94328294762805, 0)","(92.54612274440181, 92.77912720731074, 0)","(94.95862719713821, 25.531030287496534, 0)","(122.41334862598858, 158.89671324211872, 0)","(82.09873370813516, 100.29939582044854, 0)","(60.16048532974864, 117.64094012101774, 0)","(166.2802049846464, 64.87724876274991, 0)","(159.4999542177512, 8.592134003549923, 0)","(61.81276186150325, 147.17077695609973, 0)","(40.675198081280826, 83.12041259092778, 0)","(10.164517322647477, 87.47843452569762, 0)","(94.62312399735093, 92.04723634585085, 0)"
"(91.71915659740968, 73.34470048835185, 0)","(64.15314559241959, 92.66275004938227, 0)","(98.48253968952503, 26.237447493764954, 0)","(121.52454517658053, 158.97204019729887, 0)","(72.7874583625549, 118.34205074567973, 0)","(49.82832739679276, 132.57023044784324, 0)","(160.37387413863033, 67.14962999639295, 0)","(143.79884256582227, 18.44850180922399, 0)","(48.70970092805045, 144.00563335502213, 0)","(16.85562574294296, 93.93652685146613, 0)","(10.101826576565221, 87.52824346535648, 0)","(67.57797940390509, 97.20128627840592, 0)"
